,X,Y,labels,district
59,7.2620964,-28.03508,0,1000004
60,7.262212,-28.035137,0,1000004
61,7.262212,-28.035137,0,1000004
62,7.2620964,-28.03508,0,1000004
63,7.262212,-28.035137,0,1000004
64,7.262212,-28.035137,0,1000004
65,-55.422035,21.514502,0,1000004
66,7.262212,-28.035137,0,1000004
67,7.2620964,-28.03508,0,1000004
68,7.2620964,-28.03508,0,1000004
69,7.2620964,-28.03508,0,1000004
70,7.2620964,-28.03508,0,1000004
71,7.2620964,-28.03508,0,1000004
72,27.307158,0.6233766,0,1000004
73,7.262212,-28.035137,0,1000004
74,7.287434,-28.007502,0,1000004
75,-52.902157,37.727245,1,1000005
76,-52.902157,37.727245,1,1000005
77,-60.602287,-2.6060224,1,1000005
78,-52.902153,37.72725,1,1000005
79,-52.902153,37.72725,1,1000005
80,-52.902153,37.727245,1,1000005
81,-52.902153,37.72724,1,1000005
82,-52.902153,37.72725,1,1000005
83,-52.902153,37.727245,1,1000005
84,-52.902153,37.727245,1,1000005
85,-52.902153,37.72724,1,1000005
86,-52.902153,37.72725,1,1000005
87,-52.90215,37.72724,1,1000005
88,45.392,17.575974,1,1000006
89,45.392,17.575974,1,1000006
90,45.392,17.575974,1,1000006
91,45.392,17.575974,1,1000006
92,45.392,17.575974,1,1000006
93,-7.7815833,70.677956,1,1000006
94,45.392,17.575974,1,1000006
95,45.39184,17.575706,1,1000006
96,45.392,17.575974,1,1000006
97,45.392,17.575974,1,1000006
98,45.392,17.575974,1,1000006
99,45.392,17.575974,1,1000006
100,45.392,17.575974,1,1000006
101,45.392,17.575974,1,1000006
102,45.392,17.575974,1,1000006
103,45.392,17.575974,1,1000006
104,45.392,17.575974,1,1000006
105,45.392,17.575974,1,1000006
106,13.778371,15.413758,2,1000007
107,13.77836,15.413785,2,1000007
108,14.373594,16.06491,2,1000007
109,13.778371,15.413758,2,1000007
110,13.778371,15.413758,2,1000007
111,13.778341,15.413804,2,1000007
112,13.778371,15.413758,2,1000007
113,13.778371,15.413758,2,1000007
114,13.778371,15.413758,2,1000007
115,13.778371,15.413758,2,1000007
116,13.778357,15.413773,2,1000007
117,13.778371,15.413758,2,1000007
118,13.778371,15.413758,2,1000007
119,13.778371,15.413758,2,1000007
120,13.778371,15.413758,2,1000007
121,13.778371,15.413758,2,1000007
122,13.778371,15.413758,2,1000007
123,13.778371,15.413758,2,1000007
124,13.778371,15.413758,2,1000007
125,47.35558,-0.44139478,2,1000008
126,47.35558,-0.44139478,2,1000008
127,47.35558,-0.44139478,2,1000008
128,47.35558,-0.44139478,2,1000008
129,47.35558,-0.44139478,2,1000008
130,47.35558,-0.44139478,2,1000008
131,47.35558,-0.44139478,2,1000008
132,47.381298,0.6898406,2,1000008
133,47.35558,-0.44139478,2,1000008
134,47.35558,-0.44139478,2,1000008
135,47.35558,-0.44139478,2,1000008
136,47.35558,-0.44139478,2,1000008
137,47.35558,-0.44139478,2,1000008
138,47.35604,-0.43482885,2,1000009
139,47.35604,-0.43482885,2,1000009
140,47.35604,-0.43482885,2,1000009
141,47.35604,-0.43482885,2,1000009
142,47.35604,-0.43482885,2,1000009
143,47.35604,-0.43482885,2,1000009
144,47.35604,-0.43482885,2,1000009
145,47.35604,-0.43482885,2,1000009
146,47.35604,-0.43482992,2,1000009
147,47.35604,-0.43482885,2,1000009
148,47.35604,-0.43482885,2,1000009
149,47.35604,-0.43482885,2,1000009
150,47.35604,-0.43482885,2,1000009
151,47.35604,-0.43482885,2,1000009
152,47.35604,-0.43482885,2,1000009
153,47.3828,0.7652742,2,1000009
154,47.35604,-0.43482885,2,1000009
155,47.35604,-0.43482885,2,1000009
156,32.706898,-52.157093,0,1000010
157,32.706898,-52.157093,0,1000010
158,32.706898,-52.157093,0,1000010
159,32.706898,-52.157093,0,1000010
160,32.706898,-52.157093,0,1000010
161,32.706898,-52.157093,0,1000010
162,32.706898,-52.157093,0,1000010
163,32.706898,-52.157093,0,1000010
164,32.706898,-52.157093,0,1000010
165,32.706898,-52.157093,0,1000010
166,32.706898,-52.157093,0,1000010
167,32.706898,-52.157093,0,1000010
168,32.704735,-52.160355,0,1000010
169,32.706898,-52.157093,0,1000010
170,32.706898,-52.157093,0,1000010
171,32.706898,-52.157093,0,1000010
172,32.706898,-52.157093,0,1000010
173,32.706898,-52.157093,0,1000010
174,32.706898,-52.157093,0,1000010
175,32.70534,-52.159397,0,1000010
176,32.706898,-52.157093,0,1000010
177,32.706898,-52.157093,0,1000010
178,32.706898,-52.157093,0,1000010
179,32.706898,-52.157093,0,1000010
180,32.686543,-52.19259,0,1000010
181,32.706898,-52.157093,0,1000010
182,30.15348,9.222015,0,1000011
183,30.153841,9.222072,0,1000011
184,30.153751,9.222057,0,1000011
185,30.153841,9.222072,0,1000011
186,30.153683,9.222133,0,1000011
187,30.15368,9.222132,0,1000011
188,30.153841,9.222072,0,1000011
189,30.032543,9.28567,0,1000011
190,30.153841,9.222072,0,1000011
191,30.153683,9.222133,0,1000011
192,30.153788,9.222064,0,1000011
193,26.077662,14.393744,0,1000011
